st_marker_id,lat,lon,area,street_id,area_cat,st_marker_id_cat
5570E,-37.80634788094844,144.95406351646648,Queensberry,1428.0,20,2346
8630E,-37.82573112693166,144.9624829420988,Southbank,828.0,24,2811
C6302,-37.80474565400296,144.95082990373712,Queensberry,881.0,20,3841
12436N,-37.81182447430852,144.97563353553048,Jolimont,1290.0,12,476
253W,-37.815446336010666,144.9719985999839,Hyatt,647.0,11,1602
1920N,-37.81459062113608,144.96934964877917,Hyatt,528.0,11,1415
2822N,-37.81039698248489,144.96836329671396,Princes Theatre,894.0,19,1645
429W,-37.81269374292609,144.970723307995,Windsor,647.0,34,2007
6041S,-37.81061964261409,144.95636228045396,Mint,5.0,18,2446
9850N,-37.82518458732257,144.9698851270348,Southbank,728.0,24,3085
13664E,-37.819750632550246,144.9453399941094,Docklands,697.0,6,973
13214N,-37.81869043396908,144.94741873287813,Docklands,123.0,6,691
6187W,-37.80666464130361,144.95114743912734,Queensberry,617.0,20,2456
C2720,-37.80986340410677,144.9705195773521,Princes Theatre,894.0,19,3394
11959W,-37.81484011193355,144.98267969467258,East Melbourne,511.0,8,246
9523S,-37.82841695836074,144.966182355025,Southbank,1007.0,24,3039
C2636,-37.80953617829521,144.97163714701682,Princes Theatre,894.0,19,3366
C13636,-37.81969020326326,144.94430138688216,Docklands,123.0,6,3295
C13588,-37.81951188466047,144.94491963763045,Docklands,123.0,6,3283
C2638,-37.80954375816891,144.97161125514455,Princes Theatre,894.0,19,3367
1236E,-37.8121340715992,144.95951560018827,Titles,1171.0,29,439
6033S,-37.810514602925245,144.95671881689637,Mint,5.0,18,2441
8885W,-37.824946075716575,144.96111801948322,Southbank,202.0,24,2874
C7682,-37.80368200821251,144.95524866067768,Queensberry,1175.0,20,4120
C164,-37.80827816299957,144.971623831196,Regency,1288.0,22,3330
13655W,-37.820246968382335,144.9453747979073,Docklands,697.0,6,964
13347W,-37.819426242944495,144.94842132710085,Docklands,79.0,6,802
12400N,-37.81073975776732,144.97652234965057,Jolimont,178.0,12,458
5594E,-37.80589073957607,144.95385549942068,Queensberry,1428.0,20,2354
9887S,-37.825554942802896,144.96898758141737,Southbank,728.0,24,3102
9952N,-37.82592204607551,144.96737764192935,Southbank,728.0,24,3150
C6408,-37.80365717778494,144.95102191088802,Queensberry,881.0,20,3864
11874E,-37.81074367615153,144.97828950867853,Jolimont,869.0,12,201
5144E,-37.80292803824712,144.95703847650057,Courtney,1062.0,4,2212
11880E,-37.81058919833061,144.97831562076288,Jolimont,869.0,12,206
C9198,-37.79848168467851,144.96548768683328,University,655.0,31,4256
C9000,-37.8028519401346,144.96684307221085,Drummond,1102.0,7,4212
13669W,-37.82105433070951,144.9453381310676,Docklands,826.0,6,977
C5886,-37.80497787496565,144.95380594990309,Queensberry,798.0,20,3756
13695W,-37.820144167274826,144.94599977690618,Docklands,1043.0,6,991
1458E,-37.81664572591223,144.95597395956156,Family,839.0,9,1272
13408E,-37.81927228594812,144.94741784611003,Docklands,1400.0,6,840
13422E,-37.819869415259575,144.94805364400952,Docklands,1400.0,6,848
13781W,-37.81333339381703,144.94080196815696,Docklands,1228.0,6,1059
13648E,-37.82050737700747,144.94553822275137,Docklands,697.0,6,956
C6424,-37.803496275233954,144.95105059551074,Queensberry,881.0,20,3870
C13544,-37.81932658153466,144.9455604796275,Docklands,123.0,6,3274
912E,-37.816808953141,144.96443606200222,Degraves,627.0,5,2908
13318E,-37.819539600147685,144.94701317281186,Docklands,753.0,6,773
5829W,-37.80665496129442,144.9534054448519,Queensberry,798.0,20,2376
C2866,-37.8106740173744,144.96773848737843,Princes Theatre,894.0,19,3442
5812E,-37.806990515111366,144.95348171385731,Queensberry,798.0,20,2369
5147W,-37.80285324569801,144.9568774084001,Courtney,1062.0,4,2215
C7182,-37.80746605177896,144.95311195589082,Queensberry,1214.0,20,4076
10107W,-37.80368347160326,144.9478867437966,Queensberry,562.0,20,28
9453S,-37.83027811734948,144.96585143464503,Southbank,547.0,24,3024
13773W,-37.81211600849164,144.93843707080612,Docklands,1398.0,6,1052
13677W,-37.820968983843976,144.94621528438944,Docklands,1043.0,6,981
11927W,-37.81566437738135,144.98253941415769,East Melbourne,511.0,8,229
13480E,-37.819430187616376,144.95038763275062,Docklands,49.0,6,881
C13548,-37.819342766449296,144.9455048242817,Docklands,123.0,6,3275
1299W,-37.81834298686631,144.95930583849412,Tavistock,1428.0,27,617
13624E,-37.81936983578525,144.9436054796541,Docklands,998.0,6,931
13305W,-37.82058964482837,144.94722252458803,Docklands,753.0,6,756
13406E,-37.81922802801647,144.94737083263863,Docklands,1400.0,6,839
1986N,-37.81664993639553,144.96227785981011,Banks,528.0,0,1447
4390E,-37.80862271939476,144.96068371817802,The Mac,627.0,28,2017
5119W,-37.803590495004286,144.95722180642406,Courtney,1062.0,4,2198
6540N,-37.80782027267739,144.9612674983721,The Mac,681.0,28,2532
C5576,-37.80634703943952,144.95393714038005,Queensberry,1428.0,20,3654
C2652,-37.80961790607153,144.97135797948957,Princes Theatre,894.0,19,3374
C7196,-37.80756806438687,144.9529019571974,Queensberry,1214.0,20,4083
C500,-37.810649900264416,144.96991218416275,Princes Theatre,647.0,19,3595
C344,-37.81436681917644,144.97161879798873,Hyatt,647.0,11,3551
10119W,-37.80325633216644,144.94796298576316,Queensberry,562.0,20,35
C224,-37.81559854442324,144.9721907752867,Hyatt,647.0,11,3356
2793S,-37.81046795143421,144.9687918963204,Princes Theatre,894.0,19,1640
2851S,-37.81071345213896,144.9679577708581,Princes Theatre,894.0,19,1655
13324E,-37.81813758797308,144.94643655625285,Docklands,753.0,6,779
C13532,-37.81929825229301,144.94565893391882,Docklands,123.0,6,3271
6191W,-37.80659980771903,144.95111792260167,Queensberry,617.0,20,2459
11995W,-37.81391267686073,144.98283744856855,East Melbourne,511.0,8,264
C100,-37.8088965609683,144.97190792792816,Regency,1288.0,22,3169
5100E,-37.804378178843,144.9577120543801,Courtney,1062.0,4,2192
9537S,-37.82821653957318,144.96514765190838,Southbank,1007.0,24,3045
C6130,-37.8043859523741,144.95239918966172,Queensberry,192.0,20,3807
13312E,-37.8197825689164,144.9471226462669,Docklands,753.0,6,766
3388N,-37.80994021141253,144.9663550816945,Library,926.0,14,1753
12055W,-37.812205121205146,144.983127651862,East Melbourne,511.0,8,294
C13624,-37.81966489596433,144.94438830097582,Docklands,123.0,6,3292
C6404,-37.803703358842505,144.95101367765076,Queensberry,881.0,20,3862
C9178,-37.79846206091389,144.96530212179977,University,655.0,31,4251
13832N,-37.81302284893166,144.9393336503942,Docklands,915.0,6,1097
4509W,-37.81166044059066,144.95342440853702,West Melbourne,839.0,33,2056
C6352,-37.80421782013372,144.95092242388282,Queensberry,881.0,20,3847
13352E,-37.815676389961794,144.9453505933454,Docklands,753.0,6,807
12083W,-37.81109578976549,144.98331282523932,East Melbourne,511.0,8,309
13614E,-37.81963127323258,144.94372543966972,Docklands,998.0,6,922
91W,-37.80883571544522,144.97175471476578,Regency,1288.0,22,2916
C7142,-37.80846791484835,144.95257334520554,Queensberry,1391.0,20,4061
C6428,-37.80347326534873,144.9510547155713,Queensberry,881.0,20,3871
C6670,-37.80871070565439,144.9585441698922,Titles,681.0,29,3921
5447W,-37.80833177449209,144.95472159046906,Queensberry,1428.0,20,2319
13042N,-37.82111067346008,144.94365836931638,Docklands,528.0,6,647
10181W,-37.80404052141371,144.94935384858712,Queensberry,641.0,20,59
13333W,-37.81903225640253,144.9484063181207,Docklands,79.0,6,788
13350E,-37.81573303491969,144.94537561003554,Docklands,753.0,6,805
13788E,-37.81255912206672,144.9388248253581,Docklands,1398.0,6,1065
